0,2018,sig,GG2H,ggH_2018_hgg,ggh,UntaggedTag_0,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGG_M125_TuneCP5_13TeV-amcatnloFXFX-pythia8_GG2H.root,ggh_125_13TeV_UntaggedTag_0,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_0.root,wsig_13TeV:hggpdfsmrel_GG2H_2018_UntaggedTag_0_13TeV,63670.0,0.22990751621364325,1.6555050598313482e-05,0.42827395910667704
1,2018,sig,GG2HPLUSINT,ggh_2018_hgg,ggh,UntaggedTag_0,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGGPlusIntGG_M125_TuneCP5_13TeV-sherpa-pythia8_GG2HPLUSINT.root,ggh_125_13TeV_UntaggedTag_0,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_0.root,wsig_13TeV:hggpdfsmrel_GG2HPLUSINT_2018_UntaggedTag_0_13TeV,63670.0,0.22955919386549795,1.7465152740419128e-05,0.42788801063094056
2,2018,sig,VBF,qqH_2018_hgg,vbf,UntaggedTag_0,/eos/user/r/rgargiul/amrutha_ws/output_VBFHToGG_M125_TuneCP5_13TeV-amcatnlo-pythia8_VBF.root,vbf_125_13TeV_UntaggedTag_0,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_0.root,wsig_13TeV:hggpdfsmrel_VBF_2018_UntaggedTag_0_13TeV,63670.0,0.08782728408277762,5.042575249256039e-05,0.09031413389829263
3,merged,bkg,bkg_mass,bkg_mass,-,UntaggedTag_0,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_0.root,multipdf:CMS_hgg_UntaggedTag_0_13TeV_bkgshape,1.0,-,-,-
4,merged,data,data_obs,data_obs,-,UntaggedTag_0,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_0.root,multipdf:roohist_data_mass_UntaggedTag_0,-1.0,-,-,-
0,2018,sig,GG2H,ggH_2018_hgg,ggh,UntaggedTag_1,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGG_M125_TuneCP5_13TeV-amcatnloFXFX-pythia8_GG2H.root,ggh_125_13TeV_UntaggedTag_1,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_1.root,wsig_13TeV:hggpdfsmrel_GG2H_2018_UntaggedTag_1_13TeV,63670.0,1.9729341306969843,0.00018706120187478856,2.6653928363345276
1,2018,sig,GG2HPLUSINT,ggh_2018_hgg,ggh,UntaggedTag_1,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGGPlusIntGG_M125_TuneCP5_13TeV-sherpa-pythia8_GG2HPLUSINT.root,ggh_125_13TeV_UntaggedTag_1,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_1.root,wsig_13TeV:hggpdfsmrel_GG2HPLUSINT_2018_UntaggedTag_1_13TeV,63670.0,1.9407130267295258,0.0002392021735397139,2.6339866567303263
2,2018,sig,VBF,qqH_2018_hgg,vbf,UntaggedTag_1,/eos/user/r/rgargiul/amrutha_ws/output_VBFHToGG_M125_TuneCP5_13TeV-amcatnlo-pythia8_VBF.root,vbf_125_13TeV_UntaggedTag_1,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_1.root,wsig_13TeV:hggpdfsmrel_VBF_2018_UntaggedTag_1_13TeV,63670.0,0.7287773629198,0.0007056156689266765,0.7541386558756348
3,merged,bkg,bkg_mass,bkg_mass,-,UntaggedTag_1,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_1.root,multipdf:CMS_hgg_UntaggedTag_1_13TeV_bkgshape,1.0,-,-,-
4,merged,data,data_obs,data_obs,-,UntaggedTag_1,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_1.root,multipdf:roohist_data_mass_UntaggedTag_1,-1.0,-,-,-
0,2018,sig,GG2H,ggH_2018_hgg,ggh,UntaggedTag_2,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGG_M125_TuneCP5_13TeV-amcatnloFXFX-pythia8_GG2H.root,ggh_125_13TeV_UntaggedTag_2,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_2.root,wsig_13TeV:hggpdfsmrel_GG2H_2018_UntaggedTag_2_13TeV,63670.0,0.916352339392688,0.00010159790076384171,0.9594061750710524
1,2018,sig,GG2HPLUSINT,ggh_2018_hgg,ggh,UntaggedTag_2,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGGPlusIntGG_M125_TuneCP5_13TeV-sherpa-pythia8_GG2HPLUSINT.root,ggh_125_13TeV_UntaggedTag_2,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_2.root,wsig_13TeV:hggpdfsmrel_GG2HPLUSINT_2018_UntaggedTag_2_13TeV,63670.0,0.8918609878655843,0.0002304351368355303,0.9355437323216981
2,2018,sig,VBF,qqH_2018_hgg,vbf,UntaggedTag_2,/eos/user/r/rgargiul/amrutha_ws/output_VBFHToGG_M125_TuneCP5_13TeV-amcatnlo-pythia8_VBF.root,vbf_125_13TeV_UntaggedTag_2,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_2.root,wsig_13TeV:hggpdfsmrel_VBF_2018_UntaggedTag_2_13TeV,63670.0,0.2111360006238101,0.00022493102849546916,0.21929311841863228
3,merged,bkg,bkg_mass,bkg_mass,-,UntaggedTag_2,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_2.root,multipdf:CMS_hgg_UntaggedTag_2_13TeV_bkgshape,1.0,-,-,-
4,merged,data,data_obs,data_obs,-,UntaggedTag_2,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_2.root,multipdf:roohist_data_mass_UntaggedTag_2,-1.0,-,-,-
0,2018,sig,GG2H,ggH_2018_hgg,ggh,UntaggedTag_3,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGG_M125_TuneCP5_13TeV-amcatnloFXFX-pythia8_GG2H.root,ggh_125_13TeV_UntaggedTag_3,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_3.root,wsig_13TeV:hggpdfsmrel_GG2H_2018_UntaggedTag_3_13TeV,63670.0,3.6257927656570246,0.0004027058212139736,3.7604815709845187
1,2018,sig,GG2HPLUSINT,ggh_2018_hgg,ggh,UntaggedTag_3,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGGPlusIntGG_M125_TuneCP5_13TeV-sherpa-pythia8_GG2HPLUSINT.root,ggh_125_13TeV_UntaggedTag_3,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_3.root,wsig_13TeV:hggpdfsmrel_GG2HPLUSINT_2018_UntaggedTag_3_13TeV,63670.0,3.4158867467067466,0.0008506291591526113,3.55239442099653
2,2018,sig,VBF,qqH_2018_hgg,vbf,UntaggedTag_3,/eos/user/r/rgargiul/amrutha_ws/output_VBFHToGG_M125_TuneCP5_13TeV-amcatnlo-pythia8_VBF.root,vbf_125_13TeV_UntaggedTag_3,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_3.root,wsig_13TeV:hggpdfsmrel_VBF_2018_UntaggedTag_3_13TeV,63670.0,0.6509726592819334,0.0005051206370514415,0.6777270939752686
3,merged,bkg,bkg_mass,bkg_mass,-,UntaggedTag_3,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_3.root,multipdf:CMS_hgg_UntaggedTag_3_13TeV_bkgshape,1.0,-,-,-
4,merged,data,data_obs,data_obs,-,UntaggedTag_3,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_3.root,multipdf:roohist_data_mass_UntaggedTag_3,-1.0,-,-,-
0,2018,sig,GG2H,ggH_2018_hgg,ggh,UntaggedTag_4,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGG_M125_TuneCP5_13TeV-amcatnloFXFX-pythia8_GG2H.root,ggh_125_13TeV_UntaggedTag_4,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_4.root,wsig_13TeV:hggpdfsmrel_GG2H_2018_UntaggedTag_4_13TeV,63670.0,0.7090595609770389,7.087730216084797e-05,0.7512644700742672
1,2018,sig,GG2HPLUSINT,ggh_2018_hgg,ggh,UntaggedTag_4,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGGPlusIntGG_M125_TuneCP5_13TeV-sherpa-pythia8_GG2HPLUSINT.root,ggh_125_13TeV_UntaggedTag_4,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_4.root,wsig_13TeV:hggpdfsmrel_GG2HPLUSINT_2018_UntaggedTag_4_13TeV,63670.0,0.6862858981403406,0.00017075107841638053,0.7290310248229659
2,2018,sig,VBF,qqH_2018_hgg,vbf,UntaggedTag_4,/eos/user/r/rgargiul/amrutha_ws/output_VBFHToGG_M125_TuneCP5_13TeV-amcatnlo-pythia8_VBF.root,vbf_125_13TeV_UntaggedTag_4,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_4.root,wsig_13TeV:hggpdfsmrel_VBF_2018_UntaggedTag_4_13TeV,63670.0,0.06242403543069486,2.6031344104134478e-05,0.06508543609105615
3,merged,bkg,bkg_mass,bkg_mass,-,UntaggedTag_4,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_4.root,multipdf:CMS_hgg_UntaggedTag_4_13TeV_bkgshape,1.0,-,-,-
4,merged,data,data_obs,data_obs,-,UntaggedTag_4,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_4.root,multipdf:roohist_data_mass_UntaggedTag_4,-1.0,-,-,-
0,2018,sig,GG2H,ggH_2018_hgg,ggh,UntaggedTag_5,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGG_M125_TuneCP5_13TeV-amcatnloFXFX-pythia8_GG2H.root,ggh_125_13TeV_UntaggedTag_5,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_5.root,wsig_13TeV:hggpdfsmrel_GG2H_2018_UntaggedTag_5_13TeV,63670.0,4.503355207214554,0.0004518438996163393,4.809054756089513
1,2018,sig,GG2HPLUSINT,ggh_2018_hgg,ggh,UntaggedTag_5,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGGPlusIntGG_M125_TuneCP5_13TeV-sherpa-pythia8_GG2HPLUSINT.root,ggh_125_13TeV_UntaggedTag_5,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_5.root,wsig_13TeV:hggpdfsmrel_GG2HPLUSINT_2018_UntaggedTag_5_13TeV,63670.0,4.327853061260612,0.001029799490906148,4.634090608360492
2,2018,sig,VBF,qqH_2018_hgg,vbf,UntaggedTag_5,/eos/user/r/rgargiul/amrutha_ws/output_VBFHToGG_M125_TuneCP5_13TeV-amcatnlo-pythia8_VBF.root,vbf_125_13TeV_UntaggedTag_5,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_5.root,wsig_13TeV:hggpdfsmrel_VBF_2018_UntaggedTag_5_13TeV,63670.0,0.4080585280066771,0.000276336558600559,0.4258434097265573
3,merged,bkg,bkg_mass,bkg_mass,-,UntaggedTag_5,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_5.root,multipdf:CMS_hgg_UntaggedTag_5_13TeV_bkgshape,1.0,-,-,-
4,merged,data,data_obs,data_obs,-,UntaggedTag_5,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_5.root,multipdf:roohist_data_mass_UntaggedTag_5,-1.0,-,-,-
0,2018,sig,GG2H,ggH_2018_hgg,ggh,UntaggedTag_6,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGG_M125_TuneCP5_13TeV-amcatnloFXFX-pythia8_GG2H.root,ggh_125_13TeV_UntaggedTag_6,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_6.root,wsig_13TeV:hggpdfsmrel_GG2H_2018_UntaggedTag_6_13TeV,63670.0,0.964495806107152,8.335373062904792e-05,1.0092255158652947
1,2018,sig,GG2HPLUSINT,ggh_2018_hgg,ggh,UntaggedTag_6,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGGPlusIntGG_M125_TuneCP5_13TeV-sherpa-pythia8_GG2HPLUSINT.root,ggh_125_13TeV_UntaggedTag_6,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_6.root,wsig_13TeV:hggpdfsmrel_GG2HPLUSINT_2018_UntaggedTag_6_13TeV,63670.0,0.9269887548834959,0.0002113155052397627,0.9716099537887457
2,2018,sig,VBF,qqH_2018_hgg,vbf,UntaggedTag_6,/eos/user/r/rgargiul/amrutha_ws/output_VBFHToGG_M125_TuneCP5_13TeV-amcatnlo-pythia8_VBF.root,vbf_125_13TeV_UntaggedTag_6,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_6.root,wsig_13TeV:hggpdfsmrel_VBF_2018_UntaggedTag_6_13TeV,63670.0,0.03487830646895418,1.4940078910634187e-05,0.03625907913148445
3,merged,bkg,bkg_mass,bkg_mass,-,UntaggedTag_6,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_6.root,multipdf:CMS_hgg_UntaggedTag_6_13TeV_bkgshape,1.0,-,-,-
4,merged,data,data_obs,data_obs,-,UntaggedTag_6,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_6.root,multipdf:roohist_data_mass_UntaggedTag_6,-1.0,-,-,-
0,2018,sig,GG2H,ggH_2018_hgg,ggh,UntaggedTag_7,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGG_M125_TuneCP5_13TeV-amcatnloFXFX-pythia8_GG2H.root,ggh_125_13TeV_UntaggedTag_7,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_7.root,wsig_13TeV:hggpdfsmrel_GG2H_2018_UntaggedTag_7_13TeV,63670.0,5.445419117268102,0.00048107319674587615,5.7556551187945875
1,2018,sig,GG2HPLUSINT,ggh_2018_hgg,ggh,UntaggedTag_7,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGGPlusIntGG_M125_TuneCP5_13TeV-sherpa-pythia8_GG2HPLUSINT.root,ggh_125_13TeV_UntaggedTag_7,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_7.root,wsig_13TeV:hggpdfsmrel_GG2HPLUSINT_2018_UntaggedTag_7_13TeV,63670.0,5.21059704689651,0.00114605684644496,5.52046322546739
2,2018,sig,VBF,qqH_2018_hgg,vbf,UntaggedTag_7,/eos/user/r/rgargiul/amrutha_ws/output_VBFHToGG_M125_TuneCP5_13TeV-amcatnlo-pythia8_VBF.root,vbf_125_13TeV_UntaggedTag_7,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_7.root,wsig_13TeV:hggpdfsmrel_VBF_2018_UntaggedTag_7_13TeV,63670.0,0.22151871252458477,0.00014537445941528891,0.23207019647026433
3,merged,bkg,bkg_mass,bkg_mass,-,UntaggedTag_7,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_7.root,multipdf:CMS_hgg_UntaggedTag_7_13TeV_bkgshape,1.0,-,-,-
4,merged,data,data_obs,data_obs,-,UntaggedTag_7,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_7.root,multipdf:roohist_data_mass_UntaggedTag_7,-1.0,-,-,-
0,2018,sig,GG2H,ggH_2018_hgg,ggh,UntaggedTag_8,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGG_M125_TuneCP5_13TeV-amcatnloFXFX-pythia8_GG2H.root,ggh_125_13TeV_UntaggedTag_8,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_8.root,wsig_13TeV:hggpdfsmrel_GG2H_2018_UntaggedTag_8_13TeV,63670.0,0.8797543191230943,6.718837359522607e-05,0.8796495018700192
1,2018,sig,GG2HPLUSINT,ggh_2018_hgg,ggh,UntaggedTag_8,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGGPlusIntGG_M125_TuneCP5_13TeV-sherpa-pythia8_GG2HPLUSINT.root,ggh_125_13TeV_UntaggedTag_8,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_8.root,wsig_13TeV:hggpdfsmrel_GG2HPLUSINT_2018_UntaggedTag_8_13TeV,63670.0,0.874969501643136,0.00018419583205425433,0.8756223190862653
2,2018,sig,VBF,qqH_2018_hgg,vbf,UntaggedTag_8,/eos/user/r/rgargiul/amrutha_ws/output_VBFHToGG_M125_TuneCP5_13TeV-amcatnlo-pythia8_VBF.root,vbf_125_13TeV_UntaggedTag_8,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_8.root,wsig_13TeV:hggpdfsmrel_VBF_2018_UntaggedTag_8_13TeV,63670.0,0.025021190673442106,5.7903612640241676e-05,0.026110014256622596
3,merged,bkg,bkg_mass,bkg_mass,-,UntaggedTag_8,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_8.root,multipdf:CMS_hgg_UntaggedTag_8_13TeV_bkgshape,1.0,-,-,-
4,merged,data,data_obs,data_obs,-,UntaggedTag_8,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_8.root,multipdf:roohist_data_mass_UntaggedTag_8,-1.0,-,-,-
0,2018,sig,GG2H,ggH_2018_hgg,ggh,UntaggedTag_9,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGG_M125_TuneCP5_13TeV-amcatnloFXFX-pythia8_GG2H.root,ggh_125_13TeV_UntaggedTag_9,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_9.root,wsig_13TeV:hggpdfsmrel_GG2H_2018_UntaggedTag_9_13TeV,63670.0,5.9794012379989,0.00045947165593370273,6.056290819051327
1,2018,sig,GG2HPLUSINT,ggh_2018_hgg,ggh,UntaggedTag_9,/eos/user/r/rgargiul/amrutha_ws/output_GluGluHToGGPlusIntGG_M125_TuneCP5_13TeV-sherpa-pythia8_GG2HPLUSINT.root,ggh_125_13TeV_UntaggedTag_9,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_9.root,wsig_13TeV:hggpdfsmrel_GG2HPLUSINT_2018_UntaggedTag_9_13TeV,63670.0,5.807789324591795,0.0012280629790656604,5.884732273640746
2,2018,sig,VBF,qqH_2018_hgg,vbf,UntaggedTag_9,/eos/user/r/rgargiul/amrutha_ws/output_VBFHToGG_M125_TuneCP5_13TeV-amcatnlo-pythia8_VBF.root,vbf_125_13TeV_UntaggedTag_9,./Models/signal/CMS-HGG_sigfit_packaged_UntaggedTag_9.root,wsig_13TeV:hggpdfsmrel_VBF_2018_UntaggedTag_9_13TeV,63670.0,0.1357584151970741,7.258219087658104e-05,0.1424016089331711
3,merged,bkg,bkg_mass,bkg_mass,-,UntaggedTag_9,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_9.root,multipdf:CMS_hgg_UntaggedTag_9_13TeV_bkgshape,1.0,-,-,-
4,merged,data,data_obs,data_obs,-,UntaggedTag_9,-,-,./Models/background/CMS-HGG_multipdf_UntaggedTag_9.root,multipdf:roohist_data_mass_UntaggedTag_9,-1.0,-,-,-
